"","x"
"Pamphorichthys_scalpridens",0
"Pamphorichthys_minor",0
"Pamphorichthys_araguaiensis",0
"Micropoecilia_branneri",0
"Orestias_agassizii",0
"Austrofundulus_rupununi",0
"Pterolebias_longipinnis",0
"Trigonectes_rubromarginatus",0
"Neofundulus_ornatipinnis",0
"Moema_staecki",0
"Aphyolebias_peruensis",0
"Anablepsoides_ophiomimus",0
"Anablepsoides_rubrolineatus",0
"Anablepsoides_iridescens",0
"Anablepsoides_jucundus",0
"Anablepsoides_urophthalmus",0
"Anablepsoides_waimacui",0
"Melanorivulus_pictus",0
"Melanorivulus_violaceus",0
"Maratecoara_formosa",0
"Maratecoara_lacortei",0
"Pituna_poranga",0
"Plesiolebias_aruana",0
"Laimosemion_breviceps",0
"Laimosemion_strigatus",0
"Laimosemion_geayi",0
"Laimosemion_rectocaudatus",0
"Laimosemion_kirovskyi",0
"Hypsolebias_flammeus",0
"Strongylura_marina",0
"Potamorrhaphis_eigenmanni",0
"Potamorrhaphis_guianensis",0
"Potamorrhaphis_petersi",0
"Belonion_dibranchodon",0
"Belonion_apodion",0
"Pseudotylosurus_angusticeps",0
"Pseudotylosurus_microps",0
"Caquetaia_spectabilis",0
"Caquetaia_myersi",0
"Caquetaia_kraussii",0
"Heroina_isonycterina",0
"Symphysodon_tarzoo",0
"Symphysodon_aequifasciatus",0
"Symphysodon_discus",0
"Heros_severus",0
"Heros_efasciatus",0
"Uaru_amphiacanthoides",0
"Mesonauta_mirificus",0
"Mesonauta_egregius",0
"Mesonauta_festivus",0
"Mesonauta_insignis",0
"Hypselecara_temporalis",0
"Hypselecara_coryphaenoides",0
"Hoplarchus_psittacus",0
"Pterophyllum_leopoldi",0
"Cichlasoma_bimaculatum",0
"Cichlasoma_amazonarum",0
"Cichlasoma_boliviense",0
"Cichlasoma_araguaiense",0
"Aequidens_patricki",0
"Aequidens_tetramerus",0
"Aequidens_metae",0
"Aequidens_diadema",0
"Aequidens_tubicen",0
"Krobia_xinguensis",0
"Andinoacara_pulcher",0
"Bujurquina_peregrinabunda",0
"Bujurquina_syspilus",0
"Bujurquina_vittata",0
"Tahuantinsuyoa_macantzatza",0
"Acaronia_vultuosa",0
"Acaronia_nassa",0
"Laetacara_thayeri",0
"Laetacara_dorsigera",0
"Laetacara_curviceps",0
"Laetacara_araguaiae",0
"Nannacara_adoketa",0
"Crenicichla_reticulata",0
"Crenicichla_cametana",0
"Crenicichla_macrophthalma",0
"Teleocichla_gephyrogramma",0
"Teleocichla_centrarchus",0
"Teleocichla_proselytus",0
"Teleocichla_cinderella",0
"Teleocichla_monogramma",0
"Crenicichla_lepidota",0
"Crenicichla_alta",0
"Crenicichla_marmorata",0
"Crenicichla_lugubris",0
"Crenicichla_lenticulata",0
"Crenicichla_compressiceps",0
"Crenicichla_regani",0
"Crenicichla_notophthalmus",0
"Acarichthys_heckelii",0
"Biotoecus_opercularis",0
"Apistogramma_caetei",0
"Apistogrammoides_pucallpaensis",0
"Apistogramma_agassizii",0
"Apistogramma_bitaeniata",0
"Taeniacara_candidi",0
"Satanoperca_leucosticta",0
"Satanoperca_jurupari",0
"Satanoperca_pappaterra",0
"Satanoperca_daemon",0
"Satanoperca_acuticeps",0
"Geophagus_megasema",0
"Geophagus_abalios",0
"Geophagus_surinamensis",0
"Geophagus_dicrozoster",0
"Geophagus_argyrostictus",0
"Geophagus_taeniopareius",0
"Geophagus_brasiliensis",0
"Geophagus_proximus",0
"Mikrogeophagus_altispinosus",0
"Dicrossus_filamentosus",0
"Biotodoma_wavrini",0
"Biotodoma_cupido",0
"Crenicara_punctulatum",0
"Astronotus_ocellatus",0
"Astronotus_crassipinnis",0
"Retroculus_xinguensis",0
"Cichla_ocellaris",0
"Cichla_kelberi",0
"Cichla_orinocensis",0
"Cichla_intermedia",0
"Cichla_mirianae",0
"Cichla_piquiti",0
"Cichla_jariina",0
"Cichla_pinima",0
"Cichla_vazzoleri",0
"Cichla_thyrorus",0
"Cichla_temensis",0
"Cichla_monoculus",0
"Chaetobranchopsis_orbicularis",0
"Chaetobranchus_semifasciatus",0
"Chaetobranchus_flavescens",0
"Monocirrhus_polyacanthus",0
"Hypoclinemus_mentalis",0
"Eleotris_pisonis",0
"Microphilypnus_ternetzi",0
"Dormitator_maculatus",0
"Plagioscion_montei",0
"Plagioscion_surinamensis",0
"Plagioscion_auratus",0
"Colomesus_asellus",0
"Thalassophryne_amazonica",0
"Imparfinis_mirini",0
"Cetopsorhamdia_iheringi",0
"Pimelodus_blochii",1
"Pimelodus_maculatus",0
"Duopalatinus_peruanus",0
"Exallodontus_aguanai",0
"Phractocephalus_hemioliopterus",1
"Pimelodus_pictus",0
"Pimelodus_ornatus",0
"Megalonema_platycephalum",0
"Megalonema_amaxanthum",0
"Cheirocerus_eques",0
"Calophysus_macropterus",1
"Pinirampus_pirinampu",1
"Pimelodina_flavipinnis",1
"Hypophthalmus_edentatus",1
"Hypophthalmus_marginatus",1
"Hypophthalmus_fimbriatus",1
"Brachyplatystoma_platynemum",1
"Brachyplatystoma_juruense",1
"Platynematichthys_notatus",1
"Brachyplatystoma_tigrinum",1
"Brachyplatystoma_capapretum",1
"Brachyplatystoma_rousseauxii",1
"Brachyplatystoma_filamentosum",1
"Sorubim_maniradii",1
"Sorubim_lima",1
"Sorubim_elongatus",1
"Pseudoplatystoma_fasciatum",0
"Pseudoplatystoma_reticulatum",0
"Pseudoplatystoma_tigrinum",1
"Sorubimichthys_planiceps",1
"Zungaro_zungaro",1
"Platysilurus_mucosus",1
"Platystomatichthys_sturio",1
"Hemisorubim_platyrhynchos",1
"Leiarius_marmoratus",1
"Leiarius_pictus",1
"Batrochoglanis_raninus",0
"Batrochoglanis_villosus",0
"Microglanis_iheringi",0
"Pseudopimelodus_pulcher",0
"Pseudopimelodus_bufonius",0
"Pseudopimelodus_mangurus",0
"Cephalosilurus_apurensis",0
"Phreatobius_cisternarum",0
"Phreatobius_dracunculus",0
"Rhamdia_quelen",0
"Imparfinis_cochabambae",0
"Imparfinis_stictonotus",0
"Cetopsorhamdia_insidiosa",0
"Gladioglanis_machadoi",0
"Pimelodella_cristata",0
"Goeldiella_eques",0
"Hassar_orestis",0
"Hassar_wilderi",0
"Tenellus.leporhinus",0
"Tenellus.ternetzi",0
"Nemadoras_trimaculatus",0
"Nemadoras_humeralis",0
"Nemadoras_elongatus",0
"Nemadoras_hemipeltis",0
"Hemidoras.stuebelii",0
"Hemidoras_stenopeltis",0
"Opsodoras_morei",0
"Hemidoras_morrisi",0
"Ossancora_fimbriata",0
"Ossancora_asterophysa",0
"Leptodoras_cataniai",0
"Leptodoras_acipenserinus",0
"Leptodoras_juruensis",0
"Leptodoras_linnelli",0
"Leptodoras_myersi",0
"Leptodoras_marki",0
"Leptodoras_oyakawai",0
"Leptodoras_praelongus",0
"Leptodoras_copei",0
"Leptodoras_hasemani",0
"Anduzedoras_oxyrhynchus",0
"Trachydoras_microstomus",0
"Trachydoras_brevis",0
"Trachydoras_steindachneri",0
"Trachydoras_nattereri",0
"Doras_carinatus",0
"Doras_higuchii",0
"Ossancora_punctata",0
"Megalodoras_uranoscopus",1
"Lithodoras_dorsalis",1
"Centrodoras_brachiatus",0
"Centrodoras_hasemani",0
"Platydoras_costatus",0
"Platydoras_armatulus",0
"Platydoras_hancockii",0
"Pterodoras_granulosus",1
"Agamyxis_albomaculatus",0
"Agamyxis_pectinifrons",0
"Oxydoras_niger",1
"Rhinodoras_boehlkei",0
"Rhinodoras_armbrusteri",0
"Rhinodoras_dorbignyi",0
"Rhynchodoras_woodsi",0
"Acanthodoras_spinosissimus",0
"Acanthodoras_cataphractus",0
"Ageneiosus_ucayalensis",1
"Ageneiosus_inermis",0
"Tympanopleura_atronasus",0
"Trachycorystes_trachycorystes",0
"Liosomadoras_oncinus",0
"Auchenipterus_nigripinnis",0
"Auchenipterus_osteomystax",0
"Pseudepapterus_hasemani",0
"Trachelyopterus_galeatus",0
"Epapterus_dispilurus",0
"Amblydoras_nauticus",0
"Amblydoras_affinis",0
"Amblydoras_monitor",0
"Scorpiodoras_heckelii",0
"Physopyxis_lyra",0
"Physopyxis_ananas",0
"Astrodoras_asterifrons",0
"Hypodoras_forficulatus",0
"Anadoras_weddellii",0
"Anadoras_grypus",0
"Auchenipterichthys_thoracatus",0
"Tatia_intermedia",0
"Auchenipterus_demerarae",0
"Liosomadoras_morrowi",0
"Centromochlus_heckelii",0
"Centromochlus_existimatus",0
"Bunocephalus_coracoideus",0
"Amaralia_hypsiura",0
"Pterobunocephalus_depressus",0
"Platystacus_cotylephorus",0
"Aspredo_aspredo",0
"Micromyzon_akamai",0
"Cetopsis_candiru",0
"Cetopsis_coecutiens",0
"Cetopsis_gobioides",0
"Cetopsidium_soniae",0
"Helogenes_marmoratus",0
"Parotocinclus_eppleyi",0
"Parotocinclus_britskii",0
"Hisonotus_chromodontus",0
"Parotocinclus_aripuanensis",0
"Corumbataia_tocantinensis",0
"Gymnotocinclus_anosteos",0
"Hisonotus_luteofrenatus",0
"Otocinclus_vestitus",0
"Otocinclus_vittatus",0
"Otocinclus_cocama",0
"Oxyropsis_carinata",0
"Oxyropsis_wrightiana",0
"Oxyropsis_acutirostra",0
"Hypoptopoma_thoracatum",0
"Hypoptopoma_gulare",0
"Hypoptopoma_steindachneri",0
"Hypoptopoma_spectabile",0
"Acestridium_gymnogaster",0
"Acestridium_martini",0
"Acestridium_scutatum",0
"Pterygoplichthys_scrophus",0
"Pterygoplichthys_pardalis",0
"Pterygoplichthys_disjunctivus",0
"Pterygoplichthys_gibbiceps",0
"Pterygoplichthys_joselimaianus",0
"Squaliforma_emarginata",0
"Aphanotorulus_unicolor",0
"Parancistrus_aurantiacus",0
"Pterygoplichthys_multiradiatus",0
"Peckoltia_oligospila",0
"Hemiancistrus_sabaji",0
"Peckoltia_vittata",0
"Squaliforma_squalina",0
"Leporacanthicus_heterodon",0
"Acanthicus_adonis",0
"Chaetostoma_lineopunctatum",0
"Ancistrus_dolichopterus",0
"Ancistrus_ranunculus",0
"Dekeyseria_pulchra",0
"Dekeyseria_picta",0
"Dekeyseria_scaphirhyncha",0
"Loricariichthys_maculatus",0
"Spatuloricaria_puganensis",0
"Loricaria_clavipinna",0
"Rineloricaria_fallax",0
"Loricariichthys_platymetopon",0
"Fonchiiloricaria_nanodon",0
"Farlowella_platorynchus",0
"Apistoloricaria_ommation",0
"Loricaria_simillima",0
"Farlowella_amazonum",0
"Farlowella_nattereri",0
"Lamontichthys_stibaros",0
"Scoloplax_distolothrix",0
"Corydoras_julii",0
"Corydoras_kanei",0
"Corydoras_arcuatus",0
"Corydoras_schwartzi",0
"Corydoras_paragua",0
"Corydoras_copei",0
"Corydoras_trilineatus",0
"Corydoras_leucomelas",0
"Corydoras_araguaiaensis",0
"Corydoras_bondi",0
"Corydoras_loretoensis",0
"Corydoras_panda",0
"Corydoras_similis",0
"Corydoras_caudimaculatus",0
"Corydoras_weitzmani",0
"Corydoras_cruziensis",0
"Corydoras_acrensis",0
"Corydoras_burgessi",0
"Corydoras_davidsandsi",0
"Corydoras_duplicareus",0
"Corydoras_adolfoi",0
"Corydoras_loxozonus",0
"Corydoras_melini",0
"Corydoras_gossei",0
"Corydoras_sterbai",0
"Corydoras_atropersonatus",0
"Corydoras_armatus",0
"Corydoras_pulcher",0
"Corydoras_robustus",0
"Corydoras_ambiacus",0
"Corydoras_agassizii",0
"Corydoras_virginiae",0
"Corydoras_leopardus",0
"Corydoras_haraldschultzi",0
"Corydoras_melanistius",0
"Corydoras_gomezi",0
"Corydoras_seussi",0
"Corydoras_robineae",0
"Corydoras_ornatus",0
"Corydoras_delphax",0
"Corydoras_imitator",0
"Corydoras_crypticus",0
"Corydoras_reticulatus",0
"Corydoras_sodalis",0
"Corydoras_geryi",0
"Corydoras_multiradiatus",0
"Corydoras_splendens",0
"Corydoras_rabauti",0
"Corydoras_zygatus",0
"Corydoras_eques",0
"Corydoras_aeneus",0
"Corydoras_melanotaenia",0
"Corydoras_albolineatus",0
"Corydoras_tukano",0
"Corydoras_reynoldsi",0
"Aspidoras_microgalaeus",0
"Aspidoras_eurycephalus",0
"Aspidoras_albater",0
"Aspidoras_poecilus",0
"Corydoras_nijsseni",0
"Corydoras_napoensis",0
"Corydoras_elegans",0
"Corydoras_bilineatus",0
"Corydoras_gracilis",0
"Corydoras_hastatus",0
"Corydoras_guapore",0
"Corydoras_pygmaeus",0
"Corydoras_narcissus",0
"Corydoras_serratus",0
"Corydoras_blochi",0
"Corydoras_vittatus",0
"Corydoras_negro",0
"Corydoras_acutus",0
"Corydoras_cervinus",0
"Corydoras_stenocephalus",0
"Corydoras_pastazensis",0
"Corydoras_maculifer",0
"Corydoras_coriatae",0
"Corydoras_semiaquilus",0
"Corydoras_fowleri",0
"Lepthoplosternum_altamazonicum",0
"Megalechis_picta",0
"Megalechis_thoracata",0
"Callichthys_callichthys",0
"Hoplosternum_littorale",0
"Dianema_urostriatum",0
"Dianema_longibarbis",0
"Acanthopoma_annectens",0
"Pareiodon_microps",0
"Pseudostegophilus_nemurus",0
"Henonemus_punctatus",0
"Apomatoceros_alleni",0
"Ochmacanthus_alternus",0
"Megalocentor_echthrus",0
"Haemomaster_venezuelae",0
"Vandellia_sanguinea",0
"Vandellia_cirrhosa",0
"Trichomycterus_corduvensis",0
"Sarcoglanis_simplex",0
"Odontostilbe_fugitiva",0
"Odontostilbe_ecuadorensis",0
"Serrapinnus_heterodon",0
"Serrapinnus_microdon",0
"Prodontocharax_melanotus",0
"Leptagoniates_pi",0
"Aphyocharax_alburnus",0
"Aphyocharax_anisitsi",0
"Aphyocharax_pusillus",0
"Aphyocharax_nattereri",0
"Prionobrama_filigera",0
"Leptagoniates_steindachneri",0
"Paragoniates_alburnus",0
"Aphyocharacidium_bolivianum",0
"Roeboides_myersii",0
"Roeboides_descalvadensis",0
"Charax_leticiae",0
"Charax_michaeli",0
"Charax_tectifer",0
"Acestrocephalus_sardina",0
"Microschemobrycon_casiquiare",0
"Tetragonopterus_chalceus",0
"Tetragonopterus_carvalhoi",0
"Tetragonopterus_argenteus",0
"Tetragonopterus_anostomus",0
"Roeboexodon_guyanensis",0
"Exodon_paradoxus",0
"Piabarchus_analis",0
"Bryconadenos_tanaothoros",0
"Knodus_moenkhausii",0
"Bryconamericus_diaphanus",0
"Creagrutus_ignotus",0
"Creagrutus_peruanus",0
"Hemibrycon_beni",0
"Tyttocharax_madeirae",0
"Xenurobrycon_pteropus",0
"Markiana_nigripinnis",0
"Hyphessobrycon_anisitsi",0
"Astyanax_microlepis",0
"Astyanax_fasciatus",0
"Astyanax_bimaculatus",0
"Astyanax_abramis",0
"Astyanax_schubarti",0
"Hasemania_crenuchoides",0
"Ctenobrycon_hauxwellianus",0
"Astyanacinus_multidens",0
"Inpaichthys_kerri",0
"Jupiaba_polylepis",0
"Jupiaba_anteroides",0
"Poptella_compressa",0
"Brachychalcinus_copei",0
"Stethaprion_erythrops",0
"Gymnocorymbus_ternetzi",0
"Aphyodite_grammica",0
"Hemigrammus_rodwayi",0
"Pristella_maxillaris",0
"Bryconella_pallidifrons",0
"Moenkhausia_comma",0
"Hemigrammus_erythrozonus",0
"Hemigrammus_marginatus",0
"Moenkhausia_intermedia",0
"Moenkhausia_xinguensis",0
"Hyphessobrycon_erythrostigma",0
"Hyphessobrycon_megalopterus",0
"Hyphessobrycon_eques",0
"Hemigrammus_bleheri",0
"Paracheirodon_axelrodi",0
"Paracheirodon_innesi",0
"Brittanichthys_axelrodi",0
"Moenkhausia_sanctaefilomenae",0
"Bario_steindachneri",0
"Thayeria_obliqua",0
"Thayeria_boehlkei",0
"Erythrocharax_altipinnis",0
"Parecbasis_cyclolepis",0
"Macropsobrycon_xinguensis",0
"Hoplocharax_goethei",0
"Amazonspinther_dalmata",0
"Acestrorhynchus_altus",0
"Acestrorhynchus_pantaneiro",0
"Acestrorhynchus_abbreviatus",0
"Acestrorhynchus_falcatus",0
"Acestrorhynchus_grandoculis",0
"Acestrorhynchus_minimus",0
"Acestrorhynchus_microlepis",0
"Acestrorhynchus_heterolepis",0
"Acestrorhynchus_nasutus",0
"Acestrorhynchus_falcirostris",0
"Roestes_ogilviei",0
"Gnathocharax_steindachneri",0
"Heterocharax_macrolepis",0
"Bryconops_melanurus",0
"Bryconops_affinis",0
"Iguanodectes_geisleri",0
"Piabucus_melanostoma",0
"Brycon_melanopterus",1
"Brycon_hilarii",0
"Brycon_amazonicus",1
"Brycon_nattereri",0
"Brycon_pesu",0
"Salminus_brasiliensis",0
"Carnegiella_strigata",0
"Carnegiella_marthae",0
"Gasteropelecus_sternicla",0
"Thoracocharax_stellatus",0
"Engraulisoma_taeniatum",0
"Triportheus_angulatus",1
"Triportheus_albus",1
"Agoniates_anchovia",0
"Agoniates_halecinus",0
"Clupeacharax_anchoveoides",0
"Chalceus_epakros",0
"Chalceus_macrolepidotus",0
"Chalceus_erythrurus",0
"Hoplias_aimara",0
"Hoplias_malabaricus",0
"Erythrinus_erythrinus",0
"Hoplerythrinus_unitaeniatus",0
"Nannostomus_espei",0
"Nannostomus_beckfordi",0
"Steindachnerina_brevipinna",0
"Steindachnerina_guentheri",0
"Cyphocharax_vanderi",0
"Potamorhina_latior",1
"Potamorhina_altamazonica",1
"Curimatella_dorsalis",0
"Steindachnerina_hypostoma",0
"Curimatopsis_macrolepis",0
"Prochilodus_nigricans",1
"Prochilodus_rubrotaeniatus",1
"Semaprochilodus_taeniurus",1
"Semaprochilodus_kneri",1
"Semaprochilodus_insignis",1
"Schizodon_fasciatus",1
"Leporinus_fasciatus",1
"Leporinus_friderici",1
"Leporinus_striatus",0
"Anostomus_anostomus",0
"Anostomus_ternetzi",0
"Serrasalmus_hastatus",0
"Serrasalmus_hollandi",0
"Serrasalmus_compressus",0
"Serrasalmus_rhombeus",0
"Serrasalmus_geryi",0
"Serrasalmus_serrulatus",0
"Serrasalmus_elongatus",0
"Pygocentrus_nattereri",0
"Serrasalmus_manueli",0
"Serrasalmus_maculatus",0
"Serrasalmus_gouldingi",0
"Serrasalmus_eigenmanni",0
"Serrasalmus_spilopleura",0
"Catoprion_mento",0
"Pygopristis_denticulata",0
"Pristobrycon_striolatus",0
"Metynnis_lippincottianus",0
"Pristobrycon_calmoni",0
"Metynnis_hypsauchen",0
"Mylesinus_paucisquamatus",1
"Myleus_setiger",0
"Myloplus_rubripinnis",0
"Ossubtus_xinguense",0
"Myleus_rhomboidalis",0
"Piaractus_brachypomus",1
"Colossoma_macropomum",1
"Mylossoma_aureum",1
"Mylossoma.albiscopum",0
"Anodus_orinocensis",0
"Argonectes_robertsi",1
"Hemiodus_immaculatus",0
"Hemiodus_gracilis",0
"Bivibranchia_velox",0
"Psectrogaster_amazonica",1
"Psectrogaster_rutiloides",1
"Psectrogaster_rhomboides",0
"Hydrolycus_armatus",1
"Hydrolycus_scomberoides",1
"Cynodon_gibbus",0
"Rhaphiodon_vulpinus",1
"Caenotropus_labyrinthicus",0
"Chilodus_punctatus",0
"Copella_nattereri",0
"Pyrrhulina_australis",0
"Characidium_purpuratum",0
"Characidium_fasciatum",0
"Crenuchus_spilurus",0
"Poecilocharax_weitzmani",0
"Gymnotus_carapo",0
"Gymnotus_ucamara",0
"Gymnotus_arapaima",0
"Gymnotus_mamiraua",0
"Gymnotus_curupira",0
"Gymnotus_tigre",0
"Gymnotus_obscurus",0
"Gymnotus_varzea",0
"Gymnotus_pantanal",0
"Gymnotus_cataniapo",0
"Gymnotus_pedanopterus",0
"Gymnotus_coatesi",0
"Gymnotus_javari",0
"Gymnotus_coropinae",0
"Gymnotus_stenoleucus",0
"Gymnotus_jonasi",0
"Rhamphichthys_marmoratus",0
"Gymnorhamphichthys_petiti",0
"Sternarchogiton_preto",0
"Compsaraia_compsus",0
"Adontosternarchus_clarkae",0
"Sternarchogiton_labiatus",0
"Sternarchogiton_nattereri",0
"Sternarchorhamphus_muelleri",0
"Orthosternarchus_tamandua",0
"Parapteronotus_hasemani",0
"Apteronotus_albifrons",0
"Brachyhypopomus_pinnicaudatus",0
"Brachyhypopomus_brevirostris",0
"Microsternarchus_bilineatus",0
"Hypopomus_artedi",0
"Sternopygus_macrurus",0
"Eigenmannia_trilineata",0
"Eigenmannia_virescens",0
"Archolaemus_blax",0
"Rhabdolichops_eastwardi",0
"Rhinosardinia_amazonica",0
"Pellona_flavipinnis",1
"Pellona_castelnaeana",1
"Lycengraulis_grossidens",0
"Lycengraulis_batesii",0
"Pterengraulis_atherinoides",0
"Anchoviella_lepidentostole",0
"Amazonsprattus_scintilla",0
"Anchovia_surinamensis",0
"Anchoviella_alleni",0
"Anchoviella_guianensis",0
"Anchoviella_carrikeri",0
"Jurengraulis_juruensis",0
"Osteoglossum_bicirrhosum",0
"Osteoglossum_ferreirai",0
"Arapaima_gigas",0
